clave_entidad,entidad,clave_municipio,municipio,latitud,longitud
1,Aguascalientes,1,Aguascalientes,21.880487,-102.2967195
1,Aguascalientes,2,Asientos,22.1321072,-102.0952559
1,Aguascalientes,3,Calvillo,21.9108321,-102.713602
1,Aguascalientes,4,Cosío,22.3705155,-102.3120085
1,Aguascalientes,5,Jesús María,21.9345555,-102.4684517
1,Aguascalientes,6,Pabellón de Arteaga,22.1049335,-102.3016245
1,Aguascalientes,7,Rincón de Romos,22.2477576,-102.3492361
1,Aguascalientes,8,San José de Gracia,22.1426267,-102.5301357
1,Aguascalientes,9,Tepezalá,22.2435163,-102.1927212
1,Aguascalientes,10,El Llano,21.9286696,-102.0007277
1,Aguascalientes,11,San Francisco de los Romo,22.0219467,-102.2517776
2,Baja California,1,Ensenada,31.8658887,-116.602983
2,Baja California,2,Mexicali,32.6245314,-115.452604
2,Baja California,3,Tecate,32.5653831,-116.6298787
2,Baja California,4,Tijuana,32.5317397,-117.019529
2,Baja California,5,Playas de Rosarito,32.365166,-117.0557923
2,Baja California,6,San Quintín,30.5613719,-115.938162
2,Baja California,7,San Felipe,31.0269529,-114.839607
3,Baja California Sur,1,Comondú,25.4471303,-111.7087132
3,Baja California Sur,2,Mulegé,26.891329,-111.982641
3,Baja California Sur,3,La Paz,24.1619948,-110.3158532
3,Baja California Sur,8,Los Cabos,23.2718481,-109.6897684
3,Baja California Sur,9,Loreto,26.0097913,-111.3452523
4,Campeche,1,Calkiní,20.53138,-90.3607788
4,Campeche,2,Campeche,19.8436755,-90.5367454
4,Campeche,3,Carmen,18.4528234,-91.4128517
4,Campeche,4,Champotón,19.0954287,-90.4811937
4,Campeche,5,Hecelchakán,20.0906687,-90.072748
4,Campeche,6,Hopelchén,19.5392663,-89.6207172
4,Campeche,7,Palizada,18.2622565,-92.0026442
4,Campeche,8,Tenabo,19.9638504,-90.1871842
4,Campeche,9,Escárcega,18.5796919,-90.760872
4,Campeche,10,Calakmul,18.486203,-89.6575713
4,Campeche,11,Candelaria,18.1602905,-90.744475
4,Campeche,12,Seybaplaya,19.6033723,-90.625367
4,Campeche,13,Dzitbalché,20.2284272,-90.01414
5,Coahuila de Zaragoza,1,Abasolo,27.1430963,-101.3273818
5,Coahuila de Zaragoza,2,Acuña,29.321434,-100.959501
5,Coahuila de Zaragoza,3,Allende,28.2856871,-100.9322163
5,Coahuila de Zaragoza,4,Arteaga,25.3453685,-100.6831723
5,Coahuila de Zaragoza,5,Candela,26.8283217,-100.749968
5,Coahuila de Zaragoza,6,Castaños,26.5419142,-101.3046396
5,Coahuila de Zaragoza,7,Cuatro Ciénegas,26.6665018,-102.3791854
5,Coahuila de Zaragoza,8,Escobedo,27.3054948,-101.3006207
5,Coahuila de Zaragoza,9,Francisco I. Madero,26.2375527,-103.0996556
5,Coahuila de Zaragoza,10,Frontera,26.9542086,-101.5536729
5,Coahuila de Zaragoza,11,General Cepeda,25.5438609,-101.5242934
5,Coahuila de Zaragoza,12,Guerrero,28.1504013,-100.3723814
5,Coahuila de Zaragoza,13,Hidalgo,27.8528383,-100.0379206
5,Coahuila de Zaragoza,14,Jiménez,29.004135,-100.8826355
5,Coahuila de Zaragoza,15,Juárez,27.6577896,-100.6880688
5,Coahuila de Zaragoza,16,Lamadrid,27.1645298,-101.9279978
5,Coahuila de Zaragoza,17,Matamoros,25.5731848,-103.1948691
5,Coahuila de Zaragoza,18,Monclova,26.8792399,-101.1992336
